"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_runs_1","tests","Tue Mar 10 18:26:44 UTC 2026","passed","Tue Mar 10 18:26:44 UTC 2026","","test_reruns","",""
"ResRegister","30484","test_register","tests","Tue Mar 10 18:26:28 UTC 2026","broken","Tue Mar 10 18:26:58 UTC 2026","","test_res_register","",""
"Авторизация","5832","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:39 UTC 2026","passed","Tue Mar 10 18:24:45 UTC 2026","","test_avtorization","",""
"Авторизация","6117","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:53 UTC 2026","passed","Tue Mar 10 18:25:00 UTC 2026","","test_avtorization","",""
"Авторизация","5914","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:28 UTC 2026","passed","Tue Mar 10 18:24:34 UTC 2026","","test_avtorization","",""
"Авторизация","7472","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:17 UTC 2026","passed","Tue Mar 10 18:24:24 UTC 2026","","test_avtorization","",""
"Авторизация","6800","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:27 UTC 2026","passed","Tue Mar 10 18:24:34 UTC 2026","","test_avtorization","",""
"Register","30009","test_register1[chromium]","tests","Tue Mar 10 18:26:14 UTC 2026","broken","Tue Mar 10 18:26:44 UTC 2026","","test_registration","",""
"","0","test_several_number[3-9]","tests","Tue Mar 10 18:26:00 UTC 2026","passed","Tue Mar 10 18:26:00 UTC 2026","","test_parametrization","",""
"Register","7050","test_reg_hw","tests","Tue Mar 10 18:26:00 UTC 2026","passed","Tue Mar 10 18:26:07 UTC 2026","","test_reg_hw","",""
"","0","test_number[3]","tests","Tue Mar 10 18:26:28 UTC 2026","passed","Tue Mar 10 18:26:28 UTC 2026","","test_parametrization","",""
"Dashboard","30698","test_created_course[chromium]","tests","Tue Mar 10 18:25:57 UTC 2026","skipped","Tue Mar 10 18:26:27 UTC 2026","","test_create_course","",""
"Авторизация","6375","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:26 UTC 2026","passed","Tue Mar 10 18:24:32 UTC 2026","","test_avtorization","",""
"Авторизация","6743","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:36 UTC 2026","passed","Tue Mar 10 18:24:43 UTC 2026","","test_avtorization","",""
"Авторизация","6768","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:46 UTC 2026","passed","Tue Mar 10 18:24:53 UTC 2026","","test_avtorization","",""
"","0","test_several_number[1-1]","tests","Tue Mar 10 18:26:00 UTC 2026","passed","Tue Mar 10 18:26:00 UTC 2026","","test_parametrization","",""
"Dashboard","6865","test_dashboard[firefox]","tests","Tue Mar 10 18:24:45 UTC 2026","passed","Tue Mar 10 18:24:51 UTC 2026","","test_dasbord_grafic","",""
"ListMeni","16881","test_list_menu[firefox]","tests","Tue Mar 10 18:25:20 UTC 2026","passed","Tue Mar 10 18:25:37 UTC 2026","","test_list_bar_dasboards","",""
"Авторизация","12724","test_login[webkit]","tests","Tue Mar 10 18:25:52 UTC 2026","passed","Tue Mar 10 18:26:05 UTC 2026","","test_login","",""
"Dashboard","31282","test_created_course[firefox]","tests","Tue Mar 10 18:24:51 UTC 2026","skipped","Tue Mar 10 18:25:22 UTC 2026","","test_create_course","",""
"ListMeni","1458","test_cousesed[chromium]","tests","Tue Mar 10 18:24:44 UTC 2026","passed","Tue Mar 10 18:24:46 UTC 2026","","test_course","",""
"","0","test_several_number[2-4]","tests","Tue Mar 10 18:26:00 UTC 2026","passed","Tue Mar 10 18:26:00 UTC 2026","","test_parametrization","",""
"","1","test_number[-1]","tests","Tue Mar 10 18:26:00 UTC 2026","skipped","Tue Mar 10 18:26:00 UTC 2026","","test_parametrization","",""
"Авторизация","5810","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:33 UTC 2026","passed","Tue Mar 10 18:24:39 UTC 2026","","test_avtorization","",""
"ListMeni","17066","test_list_menu[webkit]","tests","Tue Mar 10 18:25:06 UTC 2026","passed","Tue Mar 10 18:25:23 UTC 2026","","test_list_bar_dasboards","",""
"Проверка активности кнопки Регистрация","6990","test_hover","tests","Tue Mar 10 18:25:53 UTC 2026","passed","Tue Mar 10 18:26:00 UTC 2026","","test_login2","",""
"Dashboard","5727","test_dashboard[webkit]","tests","Tue Mar 10 18:24:53 UTC 2026","passed","Tue Mar 10 18:24:59 UTC 2026","","test_dasbord_grafic","",""
"Register","30034","test_register1[firefox]","tests","Tue Mar 10 18:26:07 UTC 2026","broken","Tue Mar 10 18:26:37 UTC 2026","","test_registration","",""
"Проверка, что кнопка неактивна","6691","test_desabled","tests","Tue Mar 10 18:25:05 UTC 2026","passed","Tue Mar 10 18:25:12 UTC 2026","","test_desabled","",""
"Авторизация","6892","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:17 UTC 2026","passed","Tue Mar 10 18:24:24 UTC 2026","","test_avtorization","",""
"Dashboard","31221","test_created_course[webkit]","tests","Tue Mar 10 18:25:25 UTC 2026","skipped","Tue Mar 10 18:25:56 UTC 2026","","test_create_course","",""
"ListMeni","614","test_cousesed[webkit]","tests","Tue Mar 10 18:25:04 UTC 2026","passed","Tue Mar 10 18:25:05 UTC 2026","","test_course","",""
"ListMeni","940","test_cousesed[firefox]","tests","Tue Mar 10 18:25:02 UTC 2026","passed","Tue Mar 10 18:25:03 UTC 2026","","test_course","",""
"Авторизация","6136","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:21 UTC 2026","passed","Tue Mar 10 18:24:27 UTC 2026","","test_avtorization","",""
"Dashboard","5697","test_dashboard[chromium]","tests","Tue Mar 10 18:25:00 UTC 2026","passed","Tue Mar 10 18:25:05 UTC 2026","","test_dasbord_grafic","",""
"Авторизация","11945","test_login[firefox]","tests","Tue Mar 10 18:25:39 UTC 2026","passed","Tue Mar 10 18:25:51 UTC 2026","","test_login","",""
"","0","test_number[2]","tests","Tue Mar 10 18:26:00 UTC 2026","passed","Tue Mar 10 18:26:00 UTC 2026","","test_parametrization","",""
"Авторизация","11215","test_login[chromium]","tests","Tue Mar 10 18:25:41 UTC 2026","passed","Tue Mar 10 18:25:53 UTC 2026","","test_login","",""
"","0","test_rerun_with_condition","tests","Tue Mar 10 18:26:28 UTC 2026","passed","Tue Mar 10 18:26:28 UTC 2026","","test_reruns","",""
"Авторизация","6060","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:24:36 UTC 2026","passed","Tue Mar 10 18:24:42 UTC 2026","","test_avtorization","",""
"","0","test_number[1]","tests","Tue Mar 10 18:26:05 UTC 2026","passed","Tue Mar 10 18:26:05 UTC 2026","","test_parametrization","",""
"Проверка, что кнопка неактивна","6292","test_hover","tests","Tue Mar 10 18:25:12 UTC 2026","passed","Tue Mar 10 18:25:18 UTC 2026","","test_hover","",""
"ResRegisterHw","6639","test_register","tests","Tue Mar 10 18:26:07 UTC 2026","passed","Tue Mar 10 18:26:13 UTC 2026","","test_reg_hw_res","",""
"Register","30008","test_register1[webkit]","tests","Tue Mar 10 18:26:38 UTC 2026","broken","Tue Mar 10 18:27:08 UTC 2026","","test_registration","",""
"ListMeni","16720","test_list_menu[chromium]","tests","Tue Mar 10 18:25:24 UTC 2026","passed","Tue Mar 10 18:25:41 UTC 2026","","test_list_bar_dasboards","",""
