"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация","6586","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 10:46:43 UTC 2026","passed","Sun Jan 25 10:46:50 UTC 2026","","test_avtorization","",""
"ListMeni","16986","test_list_menu[firefox]","tests","Sun Jan 25 10:47:27 UTC 2026","passed","Sun Jan 25 10:47:44 UTC 2026","","test_list_bar_dasboards","",""
"Авторизация","12564","test_login[webkit]","tests","Sun Jan 25 10:48:00 UTC 2026","passed","Sun Jan 25 10:48:12 UTC 2026","","test_login","",""
"Авторизация","5839","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 10:46:40 UTC 2026","passed","Sun Jan 25 10:46:45 UTC 2026","","test_avtorization","",""
"ResRegister","16547","test_register","tests","Sun Jan 25 10:48:30 UTC 2026","passed","Sun Jan 25 10:48:47 UTC 2026","","test_res_register","",""
"Dashboard","6617","test_dashboard[firefox]","tests","Sun Jan 25 10:46:52 UTC 2026","passed","Sun Jan 25 10:46:58 UTC 2026","","test_dasbord_grafic","",""
"Register","6652","test_reg_hw","tests","Sun Jan 25 10:48:06 UTC 2026","passed","Sun Jan 25 10:48:12 UTC 2026","","test_reg_hw","",""
"ListMeni","887","test_cousesed[chromium]","tests","Sun Jan 25 10:46:51 UTC 2026","passed","Sun Jan 25 10:46:52 UTC 2026","","test_course","",""
"Авторизация","6006","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 10:46:43 UTC 2026","passed","Sun Jan 25 10:46:49 UTC 2026","","test_avtorization","",""
"Авторизация","6523","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 10:46:34 UTC 2026","passed","Sun Jan 25 10:46:41 UTC 2026","","test_avtorization","",""
"Register","8954","test_register1[firefox]","tests","Sun Jan 25 10:48:20 UTC 2026","passed","Sun Jan 25 10:48:29 UTC 2026","","test_registration","",""
"Проверка активности кнопки Регистрация","6727","test_hover","tests","Sun Jan 25 10:47:59 UTC 2026","passed","Sun Jan 25 10:48:06 UTC 2026","","test_login2","",""
"ListMeni","16297","test_list_menu[chromium]","tests","Sun Jan 25 10:47:30 UTC 2026","passed","Sun Jan 25 10:47:46 UTC 2026","","test_list_bar_dasboards","",""
"","0","test_several_number[3-9]","tests","Sun Jan 25 10:48:06 UTC 2026","passed","Sun Jan 25 10:48:06 UTC 2026","","test_parametrization","",""
"","0","test_number[3]","tests","Sun Jan 25 10:48:32 UTC 2026","passed","Sun Jan 25 10:48:32 UTC 2026","","test_parametrization","",""
"Dashboard","31240","test_created_course[chromium]","tests","Sun Jan 25 10:48:01 UTC 2026","skipped","Sun Jan 25 10:48:32 UTC 2026","","test_create_course","",""
"","0","test_number[-1]","tests","Sun Jan 25 10:48:06 UTC 2026","skipped","Sun Jan 25 10:48:06 UTC 2026","","test_parametrization","",""
"Авторизация","6219","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 10:46:36 UTC 2026","passed","Sun Jan 25 10:46:42 UTC 2026","","test_avtorization","",""
"Проверка, что кнопка неактивна","6951","test_desabled","tests","Sun Jan 25 10:47:12 UTC 2026","passed","Sun Jan 25 10:47:19 UTC 2026","","test_desabled","",""
"Авторизация","6063","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 10:46:29 UTC 2026","passed","Sun Jan 25 10:46:35 UTC 2026","","test_avtorization","",""
"Авторизация","6036","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 10:46:33 UTC 2026","passed","Sun Jan 25 10:46:39 UTC 2026","","test_avtorization","",""
"","0","test_number[2]","tests","Sun Jan 25 10:48:13 UTC 2026","passed","Sun Jan 25 10:48:13 UTC 2026","","test_parametrization","",""
"Проверка, что кнопка неактивна","5969","test_hover","tests","Sun Jan 25 10:47:19 UTC 2026","passed","Sun Jan 25 10:47:25 UTC 2026","","test_hover","",""
"Register","7739","test_register1[chromium]","tests","Sun Jan 25 10:48:22 UTC 2026","passed","Sun Jan 25 10:48:30 UTC 2026","","test_registration","",""
"Register","8250","test_register1[webkit]","tests","Sun Jan 25 10:48:13 UTC 2026","passed","Sun Jan 25 10:48:21 UTC 2026","","test_registration","",""
"Dashboard","31163","test_created_course[firefox]","tests","Sun Jan 25 10:46:55 UTC 2026","skipped","Sun Jan 25 10:47:26 UTC 2026","","test_create_course","",""
