"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Dashboard","31662","test_created_course[firefox]","tests","Thu Feb 12 18:32:52 UTC 2026","skipped","Thu Feb 12 18:33:24 UTC 2026","","test_create_course","",""
"Авторизация","11246","test_login[chromium]","tests","Thu Feb 12 18:33:48 UTC 2026","passed","Thu Feb 12 18:33:59 UTC 2026","","test_login","",""
"Авторизация","5802","Авторизация, выбор логина и пароля","tests.test_autofication","Thu Feb 12 18:32:29 UTC 2026","passed","Thu Feb 12 18:32:34 UTC 2026","","test_avtorization","",""
"","1","test_runs_1","tests","Thu Feb 12 18:34:09 UTC 2026","skipped","Thu Feb 12 18:34:09 UTC 2026","","test_reruns","",""
"","0","test_several_number[2-4]","tests","Thu Feb 12 18:33:53 UTC 2026","passed","Thu Feb 12 18:33:53 UTC 2026","","test_parametrization","",""
"","0","test_several_number[3-9]","tests","Thu Feb 12 18:33:53 UTC 2026","passed","Thu Feb 12 18:33:53 UTC 2026","","test_parametrization","",""
"Авторизация","11953","test_login[firefox]","tests","Thu Feb 12 18:33:21 UTC 2026","passed","Thu Feb 12 18:33:33 UTC 2026","","test_login","",""
"","0","test_rerun_with_condition","tests","Thu Feb 12 18:34:13 UTC 2026","passed","Thu Feb 12 18:34:13 UTC 2026","","test_reruns","",""
"","0","test_number[1]","tests","Thu Feb 12 18:33:53 UTC 2026","passed","Thu Feb 12 18:33:53 UTC 2026","","test_parametrization","",""
"ListMeni","17139","test_list_menu[firefox]","tests","Thu Feb 12 18:33:27 UTC 2026","passed","Thu Feb 12 18:33:44 UTC 2026","","test_list_bar_dasboards","",""
"Register","6101","test_register1[webkit]","tests","Thu Feb 12 18:34:09 UTC 2026","passed","Thu Feb 12 18:34:15 UTC 2026","","test_registration","",""
