"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация","6807","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:48:36 UTC 2026","passed","Sun Mar 08 18:48:43 UTC 2026","","test_avtorization","",""
"","0","test_runs_1","tests","Sun Mar 08 18:51:04 UTC 2026","passed","Sun Mar 08 18:51:04 UTC 2026","","test_reruns","",""
"ListMeni","662","test_cousesed[webkit]","tests","Sun Mar 08 18:49:23 UTC 2026","passed","Sun Mar 08 18:49:24 UTC 2026","","test_course","",""
"","0","test_several_number[1-1]","tests","Sun Mar 08 18:50:20 UTC 2026","passed","Sun Mar 08 18:50:20 UTC 2026","","test_parametrization","",""
"ListMeni","16543","test_list_menu[chromium]","tests","Sun Mar 08 18:49:45 UTC 2026","passed","Sun Mar 08 18:50:02 UTC 2026","","test_list_bar_dasboards","",""
"","1","test_number[3]","tests","Sun Mar 08 18:50:20 UTC 2026","passed","Sun Mar 08 18:50:20 UTC 2026","","test_parametrization","",""
"Авторизация","12067","test_login[webkit]","tests","Sun Mar 08 18:50:12 UTC 2026","passed","Sun Mar 08 18:50:24 UTC 2026","","test_login","",""
"","0","test_rerun_with_condition","tests","Sun Mar 08 18:50:40 UTC 2026","skipped","Sun Mar 08 18:50:40 UTC 2026","","test_reruns","",""
"ListMeni","635","test_cousesed[chromium]","tests","Sun Mar 08 18:49:00 UTC 2026","passed","Sun Mar 08 18:49:01 UTC 2026","","test_course","",""
"Авторизация","6433","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:48:46 UTC 2026","passed","Sun Mar 08 18:48:53 UTC 2026","","test_avtorization","",""
"Dashboard","31829","test_created_course[firefox]","tests","Sun Mar 08 18:49:03 UTC 2026","skipped","Sun Mar 08 18:49:35 UTC 2026","","test_create_course","",""
"Авторизация","7294","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:48:45 UTC 2026","passed","Sun Mar 08 18:48:52 UTC 2026","","test_avtorization","",""
"Dashboard","5784","test_dashboard[webkit]","tests","Sun Mar 08 18:49:13 UTC 2026","passed","Sun Mar 08 18:49:19 UTC 2026","","test_dasbord_grafic","",""
"Проверка активности кнопки Регистрация","6456","test_hover","tests","Sun Mar 08 18:50:14 UTC 2026","passed","Sun Mar 08 18:50:20 UTC 2026","","test_login2","",""
"Dashboard","30798","test_created_course[webkit]","tests","Sun Mar 08 18:49:37 UTC 2026","skipped","Sun Mar 08 18:50:08 UTC 2026","","test_create_course","",""
"","0","test_number[1]","tests","Sun Mar 08 18:50:40 UTC 2026","passed","Sun Mar 08 18:50:40 UTC 2026","","test_parametrization","",""
"Авторизация","6882","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:48:36 UTC 2026","passed","Sun Mar 08 18:48:43 UTC 2026","","test_avtorization","",""
"ListMeni","17014","test_list_menu[webkit]","tests","Sun Mar 08 18:49:27 UTC 2026","passed","Sun Mar 08 18:49:44 UTC 2026","","test_list_bar_dasboards","",""
"","0","test_several_number[2-4]","tests","Sun Mar 08 18:50:20 UTC 2026","passed","Sun Mar 08 18:50:20 UTC 2026","","test_parametrization","",""
"","0","test_several_number[3-9]","tests","Sun Mar 08 18:50:20 UTC 2026","passed","Sun Mar 08 18:50:20 UTC 2026","","test_parametrization","",""
"Register","30030","test_register1[firefox]","tests","Sun Mar 08 18:50:26 UTC 2026","broken","Sun Mar 08 18:50:56 UTC 2026","","test_registration","",""
"Register","30009","test_register1[webkit]","tests","Sun Mar 08 18:50:57 UTC 2026","broken","Sun Mar 08 18:51:27 UTC 2026","","test_registration","",""
"Авторизация","6350","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:49:05 UTC 2026","passed","Sun Mar 08 18:49:12 UTC 2026","","test_avtorization","",""
"Авторизация","11805","test_login[firefox]","tests","Sun Mar 08 18:49:59 UTC 2026","passed","Sun Mar 08 18:50:11 UTC 2026","","test_login","",""
"ResRegister","30467","test_register","tests","Sun Mar 08 18:50:40 UTC 2026","broken","Sun Mar 08 18:51:11 UTC 2026","","test_res_register","",""
"Авторизация","6213","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:48:55 UTC 2026","passed","Sun Mar 08 18:49:01 UTC 2026","","test_avtorization","",""
"Проверка, что кнопка неактивна","6033","test_hover","tests","Sun Mar 08 18:49:32 UTC 2026","passed","Sun Mar 08 18:49:38 UTC 2026","","test_hover","",""
"Авторизация","6087","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:49:12 UTC 2026","passed","Sun Mar 08 18:49:19 UTC 2026","","test_avtorization","",""
"Register","30010","test_register1[chromium]","tests","Sun Mar 08 18:50:34 UTC 2026","broken","Sun Mar 08 18:51:04 UTC 2026","","test_registration","",""
"","0","test_number[2]","tests","Sun Mar 08 18:50:25 UTC 2026","passed","Sun Mar 08 18:50:25 UTC 2026","","test_parametrization","",""
"Авторизация","5932","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:48:54 UTC 2026","passed","Sun Mar 08 18:49:00 UTC 2026","","test_avtorization","",""
"Авторизация","5754","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:48:59 UTC 2026","passed","Sun Mar 08 18:49:04 UTC 2026","","test_avtorization","",""
"","0","test_number[-1]","tests","Sun Mar 08 18:50:20 UTC 2026","skipped","Sun Mar 08 18:50:20 UTC 2026","","test_parametrization","",""
"ResRegisterHw","6453","test_register","tests","Sun Mar 08 18:50:27 UTC 2026","passed","Sun Mar 08 18:50:33 UTC 2026","","test_reg_hw_res","",""
"Авторизация","6079","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:48:39 UTC 2026","passed","Sun Mar 08 18:48:45 UTC 2026","","test_avtorization","",""
"Dashboard","6584","test_dashboard[firefox]","tests","Sun Mar 08 18:49:05 UTC 2026","passed","Sun Mar 08 18:49:11 UTC 2026","","test_dasbord_grafic","",""
"Проверка, что кнопка неактивна","6796","test_desabled","tests","Sun Mar 08 18:49:25 UTC 2026","passed","Sun Mar 08 18:49:32 UTC 2026","","test_desabled","",""
