"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Dashboard","31390","test_created_course[firefox]","tests","Sun Mar 08 19:08:00 UTC 2026","skipped","Sun Mar 08 19:08:32 UTC 2026","","test_create_course","",""
"Register","6512","test_reg_hw","tests","Sun Mar 08 19:09:16 UTC 2026","passed","Sun Mar 08 19:09:22 UTC 2026","","test_reg_hw","",""
"","0","test_several_number[3-9]","tests","Sun Mar 08 19:09:16 UTC 2026","passed","Sun Mar 08 19:09:16 UTC 2026","","test_parametrization","",""
"Dashboard","5870","test_dashboard[chromium]","tests","Sun Mar 08 19:08:18 UTC 2026","passed","Sun Mar 08 19:08:24 UTC 2026","","test_dasbord_grafic","",""
"","0","test_rerun_with_condition","tests","Sun Mar 08 19:09:37 UTC 2026","passed","Sun Mar 08 19:09:37 UTC 2026","","test_reruns","",""
"Dashboard","6423","test_dashboard[firefox]","tests","Sun Mar 08 19:08:03 UTC 2026","passed","Sun Mar 08 19:08:09 UTC 2026","","test_dasbord_grafic","",""
"","0","test_runs_1","tests","Sun Mar 08 19:10:01 UTC 2026","skipped","Sun Mar 08 19:10:01 UTC 2026","","test_reruns","",""
"Авторизация","11809","test_login[chromium]","tests","Sun Mar 08 19:08:57 UTC 2026","passed","Sun Mar 08 19:09:09 UTC 2026","","test_login","",""
"Dashboard","30728","test_created_course[chromium]","tests","Sun Mar 08 19:09:06 UTC 2026","skipped","Sun Mar 08 19:09:37 UTC 2026","","test_create_course","",""
"Авторизация","5917","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 19:07:50 UTC 2026","passed","Sun Mar 08 19:07:56 UTC 2026","","test_avtorization","",""
"Авторизация","5705","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 19:07:56 UTC 2026","passed","Sun Mar 08 19:08:02 UTC 2026","","test_avtorization","",""
"Авторизация","6846","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 19:07:35 UTC 2026","passed","Sun Mar 08 19:07:41 UTC 2026","","test_avtorization","",""
"Авторизация","6158","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 19:08:03 UTC 2026","passed","Sun Mar 08 19:08:09 UTC 2026","","test_avtorization","",""
"","0","test_number[3]","tests","Sun Mar 08 19:09:24 UTC 2026","passed","Sun Mar 08 19:09:24 UTC 2026","","test_parametrization","",""
"","0","test_number[1]","tests","Sun Mar 08 19:09:37 UTC 2026","passed","Sun Mar 08 19:09:37 UTC 2026","","test_parametrization","",""
"","0","test_several_number[1-1]","tests","Sun Mar 08 19:09:16 UTC 2026","passed","Sun Mar 08 19:09:16 UTC 2026","","test_parametrization","",""
"Авторизация","6597","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 19:07:44 UTC 2026","passed","Sun Mar 08 19:07:50 UTC 2026","","test_avtorization","",""
"Авторизация","5808","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 19:07:51 UTC 2026","passed","Sun Mar 08 19:07:57 UTC 2026","","test_avtorization","",""
