"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"ResRegisterHw","6411","test_register","tests","Sat Mar 07 06:59:56 UTC 2026","passed","Sat Mar 07 07:00:02 UTC 2026","","test_reg_hw_res","",""
"Авторизация","6855","Авторизация, выбор логина и пароля","tests.test_autofication","Sat Mar 07 06:58:06 UTC 2026","passed","Sat Mar 07 06:58:13 UTC 2026","","test_avtorization","",""
"ListMeni","677","test_cousesed[webkit]","tests","Sat Mar 07 06:58:54 UTC 2026","passed","Sat Mar 07 06:58:55 UTC 2026","","test_course","",""
"Проверка, что кнопка неактивна","6303","test_hover","tests","Sat Mar 07 06:59:02 UTC 2026","passed","Sat Mar 07 06:59:08 UTC 2026","","test_hover","",""
"Авторизация","5933","Авторизация, выбор логина и пароля","tests.test_autofication","Sat Mar 07 06:58:22 UTC 2026","passed","Sat Mar 07 06:58:28 UTC 2026","","test_avtorization","",""
"","0","test_number[-1]","tests","Sat Mar 07 06:59:49 UTC 2026","skipped","Sat Mar 07 06:59:49 UTC 2026","","test_parametrization","",""
"ListMeni","16895","test_list_menu[webkit]","tests","Sat Mar 07 06:58:56 UTC 2026","passed","Sat Mar 07 06:59:13 UTC 2026","","test_list_bar_dasboards","",""
"","0","test_runs_1","tests","Sat Mar 07 07:00:34 UTC 2026","passed","Sat Mar 07 07:00:34 UTC 2026","","test_reruns","",""
"Авторизация","6211","Авторизация, выбор логина и пароля","tests.test_autofication","Sat Mar 07 06:58:43 UTC 2026","passed","Sat Mar 07 06:58:49 UTC 2026","","test_avtorization","",""
"","0","test_number[2]","tests","Sat Mar 07 07:00:15 UTC 2026","passed","Sat Mar 07 07:00:15 UTC 2026","","test_parametrization","",""
"Register","30008","test_register1[webkit]","tests","Sat Mar 07 06:59:57 UTC 2026","broken","Sat Mar 07 07:00:27 UTC 2026","","test_registration","",""
"Авторизация","11803","test_login[chromium]","tests","Sat Mar 07 06:59:30 UTC 2026","passed","Sat Mar 07 06:59:42 UTC 2026","","test_login","",""
"","0","test_rerun_with_condition","tests","Sat Mar 07 07:00:15 UTC 2026","passed","Sat Mar 07 07:00:15 UTC 2026","","test_reruns","",""
"","0","test_number[3]","tests","Sat Mar 07 06:59:57 UTC 2026","passed","Sat Mar 07 06:59:57 UTC 2026","","test_parametrization","",""
"Авторизация","5720","Авторизация, выбор логина и пароля","tests.test_autofication","Sat Mar 07 06:58:29 UTC 2026","passed","Sat Mar 07 06:58:35 UTC 2026","","test_avtorization","",""
"ListMeni","16359","test_list_menu[chromium]","tests","Sat Mar 07 06:59:13 UTC 2026","passed","Sat Mar 07 06:59:30 UTC 2026","","test_list_bar_dasboards","",""
"Register","30009","test_register1[chromium]","tests","Sat Mar 07 07:00:28 UTC 2026","broken","Sat Mar 07 07:00:58 UTC 2026","","test_registration","",""
"ListMeni","17363","test_list_menu[firefox]","tests","Sat Mar 07 06:59:10 UTC 2026","passed","Sat Mar 07 06:59:27 UTC 2026","","test_list_bar_dasboards","",""
"Авторизация","6835","Авторизация, выбор логина и пароля","tests.test_autofication","Sat Mar 07 06:58:07 UTC 2026","passed","Sat Mar 07 06:58:14 UTC 2026","","test_avtorization","",""
"Dashboard","6585","test_dashboard[firefox]","tests","Sat Mar 07 06:58:34 UTC 2026","passed","Sat Mar 07 06:58:41 UTC 2026","","test_dasbord_grafic","",""
"Register","30033","test_register1[firefox]","tests","Sat Mar 07 07:00:04 UTC 2026","broken","Sat Mar 07 07:00:34 UTC 2026","","test_registration","",""
"Dashboard","31347","test_created_course[webkit]","tests","Sat Mar 07 06:59:11 UTC 2026","skipped","Sat Mar 07 06:59:42 UTC 2026","","test_create_course","",""
"Авторизация","6677","Авторизация, выбор логина и пароля","tests.test_autofication","Sat Mar 07 06:58:36 UTC 2026","passed","Sat Mar 07 06:58:42 UTC 2026","","test_avtorization","",""
"ListMeni","749","test_cousesed[chromium]","tests","Sat Mar 07 06:58:33 UTC 2026","passed","Sat Mar 07 06:58:33 UTC 2026","","test_course","",""
