"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_several_number[3-9]","tests","Tue Jan 27 09:12:56 UTC 2026","passed","Tue Jan 27 09:12:56 UTC 2026","","test_parametrization","",""
"ListMeni","17310","test_list_menu[firefox]","tests","Tue Jan 27 09:12:17 UTC 2026","passed","Tue Jan 27 09:12:34 UTC 2026","","test_list_bar_dasboards","",""
"Dashboard","31122","test_created_course[firefox]","tests","Tue Jan 27 09:11:46 UTC 2026","skipped","Tue Jan 27 09:12:17 UTC 2026","","test_create_course","",""
"","0","test_several_number[2-4]","tests","Tue Jan 27 09:12:56 UTC 2026","passed","Tue Jan 27 09:12:56 UTC 2026","","test_parametrization","",""
"","0","test_number[3]","tests","Tue Jan 27 09:13:22 UTC 2026","passed","Tue Jan 27 09:13:22 UTC 2026","","test_parametrization","",""
"Проверка активности кнопки Регистрация","6959","test_hover","tests","Tue Jan 27 09:12:49 UTC 2026","passed","Tue Jan 27 09:12:56 UTC 2026","","test_login2","",""
"Авторизация","12569","test_login[webkit]","tests","Tue Jan 27 09:12:49 UTC 2026","passed","Tue Jan 27 09:13:02 UTC 2026","","test_login","",""
"","0","test_number[1]","tests","Tue Jan 27 09:13:02 UTC 2026","passed","Tue Jan 27 09:13:02 UTC 2026","","test_parametrization","",""
"Dashboard","5637","test_dashboard[webkit]","tests","Tue Jan 27 09:11:50 UTC 2026","passed","Tue Jan 27 09:11:56 UTC 2026","","test_dasbord_grafic","",""
"Register","6305","test_register1[webkit]","tests","Tue Jan 27 09:13:12 UTC 2026","passed","Tue Jan 27 09:13:18 UTC 2026","","test_registration","",""
"Проверка, что кнопка неактивна","6660","test_desabled","tests","Tue Jan 27 09:12:02 UTC 2026","passed","Tue Jan 27 09:12:09 UTC 2026","","test_desabled","",""
"Авторизация","5671","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:37 UTC 2026","passed","Tue Jan 27 09:11:43 UTC 2026","","test_avtorization","",""
"Авторизация","5927","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:31 UTC 2026","passed","Tue Jan 27 09:11:37 UTC 2026","","test_avtorization","",""
"ResRegister","14155","test_register","tests","Tue Jan 27 09:13:17 UTC 2026","passed","Tue Jan 27 09:13:31 UTC 2026","","test_res_register","",""
"Авторизация","5732","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:27 UTC 2026","passed","Tue Jan 27 09:11:33 UTC 2026","","test_avtorization","",""
"","1","test_runs_1","tests","Tue Jan 27 09:13:17 UTC 2026","skipped","Tue Jan 27 09:13:17 UTC 2026","","test_reruns","",""
"ListMeni","954","test_cousesed[firefox]","tests","Tue Jan 27 09:11:59 UTC 2026","passed","Tue Jan 27 09:12:00 UTC 2026","","test_course","",""
"","0","test_number[-1]","tests","Tue Jan 27 09:12:56 UTC 2026","skipped","Tue Jan 27 09:12:56 UTC 2026","","test_parametrization","",""
"ListMeni","890","test_cousesed[chromium]","tests","Tue Jan 27 09:11:42 UTC 2026","passed","Tue Jan 27 09:11:43 UTC 2026","","test_course","",""
"ResRegisterHw","6613","test_register","tests","Tue Jan 27 09:13:04 UTC 2026","passed","Tue Jan 27 09:13:10 UTC 2026","","test_reg_hw_res","",""
"Авторизация","6819","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:16 UTC 2026","passed","Tue Jan 27 09:11:23 UTC 2026","","test_avtorization","",""
"Dashboard","30675","test_created_course[chromium]","tests","Tue Jan 27 09:12:52 UTC 2026","skipped","Tue Jan 27 09:13:22 UTC 2026","","test_create_course","",""
"Dashboard","6320","test_dashboard[firefox]","tests","Tue Jan 27 09:11:42 UTC 2026","passed","Tue Jan 27 09:11:49 UTC 2026","","test_dasbord_grafic","",""
"","0","test_rerun_with_condition","tests","Tue Jan 27 09:13:19 UTC 2026","skipped","Tue Jan 27 09:13:19 UTC 2026","","test_reruns","",""
"","1","test_several_number[1-1]","tests","Tue Jan 27 09:12:56 UTC 2026","passed","Tue Jan 27 09:12:56 UTC 2026","","test_parametrization","",""
"Авторизация","6197","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:24 UTC 2026","passed","Tue Jan 27 09:11:30 UTC 2026","","test_avtorization","",""
"ListMeni","658","test_cousesed[webkit]","tests","Tue Jan 27 09:12:02 UTC 2026","passed","Tue Jan 27 09:12:02 UTC 2026","","test_course","",""
"Авторизация","6117","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:34 UTC 2026","passed","Tue Jan 27 09:11:40 UTC 2026","","test_avtorization","",""
"Register","7170","test_register1[firefox]","tests","Tue Jan 27 09:13:04 UTC 2026","passed","Tue Jan 27 09:13:11 UTC 2026","","test_registration","",""
"","0","test_number[2]","tests","Tue Jan 27 09:12:56 UTC 2026","passed","Tue Jan 27 09:12:56 UTC 2026","","test_parametrization","",""
"Авторизация","6056","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:20 UTC 2026","passed","Tue Jan 27 09:11:26 UTC 2026","","test_avtorization","",""
"Dashboard","30871","test_created_course[webkit]","tests","Tue Jan 27 09:12:20 UTC 2026","skipped","Tue Jan 27 09:12:51 UTC 2026","","test_create_course","",""
"ListMeni","16291","test_list_menu[chromium]","tests","Tue Jan 27 09:12:21 UTC 2026","passed","Tue Jan 27 09:12:37 UTC 2026","","test_list_bar_dasboards","",""
"Авторизация","6374","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:25 UTC 2026","passed","Tue Jan 27 09:11:31 UTC 2026","","test_avtorization","",""
"Register","6112","test_register1[chromium]","tests","Tue Jan 27 09:13:11 UTC 2026","passed","Tue Jan 27 09:13:17 UTC 2026","","test_registration","",""
"Проверка, что кнопка неактивна","5962","test_hover","tests","Tue Jan 27 09:12:09 UTC 2026","passed","Tue Jan 27 09:12:15 UTC 2026","","test_hover","",""
"Авторизация","6138","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:44 UTC 2026","passed","Tue Jan 27 09:11:50 UTC 2026","","test_avtorization","",""
"Dashboard","5610","test_dashboard[chromium]","tests","Tue Jan 27 09:11:56 UTC 2026","passed","Tue Jan 27 09:12:02 UTC 2026","","test_dasbord_grafic","",""
"Register","7114","test_reg_hw","tests","Tue Jan 27 09:12:56 UTC 2026","passed","Tue Jan 27 09:13:04 UTC 2026","","test_reg_hw","",""
"ListMeni","16879","test_list_menu[webkit]","tests","Tue Jan 27 09:12:03 UTC 2026","passed","Tue Jan 27 09:12:20 UTC 2026","","test_list_bar_dasboards","",""
"Авторизация","6267","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:51 UTC 2026","passed","Tue Jan 27 09:11:57 UTC 2026","","test_avtorization","",""
"Авторизация","11922","test_login[firefox]","tests","Tue Jan 27 09:12:36 UTC 2026","passed","Tue Jan 27 09:12:48 UTC 2026","","test_login","",""
"Авторизация","11149","test_login[chromium]","tests","Tue Jan 27 09:12:38 UTC 2026","passed","Tue Jan 27 09:12:49 UTC 2026","","test_login","",""
"Авторизация","6700","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:34 UTC 2026","passed","Tue Jan 27 09:11:40 UTC 2026","","test_avtorization","",""
"Авторизация","7315","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Jan 27 09:11:15 UTC 2026","passed","Tue Jan 27 09:11:22 UTC 2026","","test_avtorization","",""
