"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация","5762","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:35:21 UTC 2026","passed","Tue Mar 10 18:35:27 UTC 2026","","test_avtorization","",""
"Авторизация","5929","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:35:14 UTC 2026","passed","Tue Mar 10 18:35:20 UTC 2026","","test_avtorization","",""
"Авторизация","13515","test_login[webkit]","tests","Tue Mar 10 18:36:34 UTC 2026","passed","Tue Mar 10 18:36:48 UTC 2026","","test_login","",""
"ResRegisterHw","6718","test_register","tests","Tue Mar 10 18:36:49 UTC 2026","passed","Tue Mar 10 18:36:56 UTC 2026","","test_reg_hw_res","",""
"ListMeni","17206","test_list_menu[firefox]","tests","Tue Mar 10 18:36:01 UTC 2026","passed","Tue Mar 10 18:36:19 UTC 2026","","test_list_bar_dasboards","",""
"Авторизация","11257","test_login[chromium]","tests","Tue Mar 10 18:36:23 UTC 2026","passed","Tue Mar 10 18:36:34 UTC 2026","","test_login","",""
"Авторизация","6082","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:35:17 UTC 2026","passed","Tue Mar 10 18:35:24 UTC 2026","","test_avtorization","",""
"Авторизация","6289","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:35:35 UTC 2026","passed","Tue Mar 10 18:35:41 UTC 2026","","test_avtorization","",""
"ListMeni","789","test_cousesed[webkit]","tests","Tue Mar 10 18:35:46 UTC 2026","passed","Tue Mar 10 18:35:47 UTC 2026","","test_course","",""
"","0","test_several_number[3-9]","tests","Tue Mar 10 18:36:42 UTC 2026","passed","Tue Mar 10 18:36:42 UTC 2026","","test_parametrization","",""
"Register","7203","test_reg_hw","tests","Tue Mar 10 18:36:42 UTC 2026","passed","Tue Mar 10 18:36:49 UTC 2026","","test_reg_hw","",""
"Register","30010","test_register1[webkit]","tests","Tue Mar 10 18:37:21 UTC 2026","broken","Tue Mar 10 18:37:51 UTC 2026","","test_registration","",""
"Dashboard","5650","test_dashboard[webkit]","tests","Tue Mar 10 18:35:34 UTC 2026","passed","Tue Mar 10 18:35:40 UTC 2026","","test_dasbord_grafic","",""
"Проверка, что кнопка неактивна","5954","test_hover","tests","Tue Mar 10 18:35:53 UTC 2026","passed","Tue Mar 10 18:35:59 UTC 2026","","test_hover","",""
"Авторизация","6499","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:35:17 UTC 2026","passed","Tue Mar 10 18:35:23 UTC 2026","","test_avtorization","",""
"Авторизация","5961","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:35:10 UTC 2026","passed","Tue Mar 10 18:35:16 UTC 2026","","test_avtorization","",""
"ListMeni","996","test_cousesed[firefox]","tests","Tue Mar 10 18:35:43 UTC 2026","passed","Tue Mar 10 18:35:44 UTC 2026","","test_course","",""
"Register","30008","test_register1[chromium]","tests","Tue Mar 10 18:36:56 UTC 2026","broken","Tue Mar 10 18:37:26 UTC 2026","","test_registration","",""
"Авторизация","6846","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:34:58 UTC 2026","passed","Tue Mar 10 18:35:05 UTC 2026","","test_avtorization","",""
"","0","test_runs_1","tests","Tue Mar 10 18:37:26 UTC 2026","passed","Tue Mar 10 18:37:26 UTC 2026","","test_reruns","",""
"Проверка активности кнопки Регистрация","7459","test_hover","tests","Tue Mar 10 18:36:34 UTC 2026","passed","Tue Mar 10 18:36:42 UTC 2026","","test_login2","",""
"","0","test_number[1]","tests","Tue Mar 10 18:36:48 UTC 2026","passed","Tue Mar 10 18:36:48 UTC 2026","","test_parametrization","",""
"Dashboard","30855","test_created_course[webkit]","tests","Tue Mar 10 18:36:03 UTC 2026","skipped","Tue Mar 10 18:36:34 UTC 2026","","test_create_course","",""
"","1","test_number[-1]","tests","Tue Mar 10 18:36:42 UTC 2026","skipped","Tue Mar 10 18:36:42 UTC 2026","","test_parametrization","",""
"ListMeni","17195","test_list_menu[webkit]","tests","Tue Mar 10 18:35:48 UTC 2026","passed","Tue Mar 10 18:36:05 UTC 2026","","test_list_bar_dasboards","",""
"Авторизация","6586","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:35:07 UTC 2026","passed","Tue Mar 10 18:35:14 UTC 2026","","test_avtorization","",""
"Авторизация","12014","test_login[firefox]","tests","Tue Mar 10 18:36:21 UTC 2026","passed","Tue Mar 10 18:36:33 UTC 2026","","test_login","",""
"Авторизация","6773","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:34:59 UTC 2026","passed","Tue Mar 10 18:35:05 UTC 2026","","test_avtorization","",""
"Dashboard","5628","test_dashboard[chromium]","tests","Tue Mar 10 18:35:40 UTC 2026","passed","Tue Mar 10 18:35:46 UTC 2026","","test_dasbord_grafic","",""
"","0","test_number[2]","tests","Tue Mar 10 18:36:42 UTC 2026","passed","Tue Mar 10 18:36:42 UTC 2026","","test_parametrization","",""
"","0","test_rerun_with_condition","tests","Tue Mar 10 18:37:07 UTC 2026","skipped","Tue Mar 10 18:37:07 UTC 2026","","test_reruns","",""
"Dashboard","31248","test_created_course[chromium]","tests","Tue Mar 10 18:36:36 UTC 2026","skipped","Tue Mar 10 18:37:07 UTC 2026","","test_create_course","",""
"ListMeni","852","test_cousesed[chromium]","tests","Tue Mar 10 18:35:24 UTC 2026","passed","Tue Mar 10 18:35:25 UTC 2026","","test_course","",""
