"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация","6929","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:51:14 UTC 2026","passed","Sun Mar 08 18:51:21 UTC 2026","","test_avtorization","",""
"Проверка активности кнопки Регистрация","6463","test_hover","tests","Sun Mar 08 18:52:22 UTC 2026","passed","Sun Mar 08 18:52:28 UTC 2026","","test_login2","",""
"","0","test_several_number[2-4]","tests","Sun Mar 08 18:52:28 UTC 2026","passed","Sun Mar 08 18:52:28 UTC 2026","","test_parametrization","",""
"ListMeni","594","test_cousesed[chromium]","tests","Sun Mar 08 18:51:11 UTC 2026","passed","Sun Mar 08 18:51:11 UTC 2026","","test_course","",""
"Авторизация","12223","test_login[webkit]","tests","Sun Mar 08 18:52:24 UTC 2026","passed","Sun Mar 08 18:52:37 UTC 2026","","test_login","",""
"Авторизация","6548","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:50:54 UTC 2026","passed","Sun Mar 08 18:51:01 UTC 2026","","test_avtorization","",""
"Dashboard","32014","test_created_course[firefox]","tests","Sun Mar 08 18:51:13 UTC 2026","skipped","Sun Mar 08 18:51:45 UTC 2026","","test_create_course","",""
"","0","test_number[3]","tests","Sun Mar 08 18:52:37 UTC 2026","passed","Sun Mar 08 18:52:37 UTC 2026","","test_parametrization","",""
"Авторизация","5901","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:51:01 UTC 2026","passed","Sun Mar 08 18:51:06 UTC 2026","","test_avtorization","",""
"Авторизация","6916","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:50:44 UTC 2026","passed","Sun Mar 08 18:50:51 UTC 2026","","test_avtorization","",""
"Dashboard","5640","test_dashboard[chromium]","tests","Sun Mar 08 18:51:32 UTC 2026","passed","Sun Mar 08 18:51:37 UTC 2026","","test_dasbord_grafic","",""
"","0","test_number[1]","tests","Sun Mar 08 18:52:50 UTC 2026","passed","Sun Mar 08 18:52:50 UTC 2026","","test_parametrization","",""
"Dashboard","5580","test_dashboard[webkit]","tests","Sun Mar 08 18:51:25 UTC 2026","passed","Sun Mar 08 18:51:30 UTC 2026","","test_dasbord_grafic","",""
"Авторизация","6199","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:51:03 UTC 2026","passed","Sun Mar 08 18:51:09 UTC 2026","","test_avtorization","",""
"Авторизация","6006","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:51:07 UTC 2026","passed","Sun Mar 08 18:51:13 UTC 2026","","test_avtorization","",""
"Dashboard","30679","test_created_course[webkit]","tests","Sun Mar 08 18:51:47 UTC 2026","skipped","Sun Mar 08 18:52:18 UTC 2026","","test_create_course","",""
"ResRegisterHw","6389","test_register","tests","Sun Mar 08 18:52:35 UTC 2026","passed","Sun Mar 08 18:52:41 UTC 2026","","test_reg_hw_res","",""
"","0","test_rerun_with_condition","tests","Sun Mar 08 18:52:50 UTC 2026","skipped","Sun Mar 08 18:52:50 UTC 2026","","test_reruns","",""
"ListMeni","16534","test_list_menu[chromium]","tests","Sun Mar 08 18:51:53 UTC 2026","passed","Sun Mar 08 18:52:09 UTC 2026","","test_list_bar_dasboards","",""
"Авторизация","5833","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Mar 08 18:50:58 UTC 2026","passed","Sun Mar 08 18:51:04 UTC 2026","","test_avtorization","",""
"Авторизация","12030","test_login[firefox]","tests","Sun Mar 08 18:52:11 UTC 2026","passed","Sun Mar 08 18:52:23 UTC 2026","","test_login","",""
"Dashboard","30747","test_created_course[chromium]","tests","Sun Mar 08 18:52:19 UTC 2026","skipped","Sun Mar 08 18:52:50 UTC 2026","","test_create_course","",""
"Register","6472","test_reg_hw","tests","Sun Mar 08 18:52:28 UTC 2026","passed","Sun Mar 08 18:52:35 UTC 2026","","test_reg_hw","",""
"ResRegister","30471","test_register","tests","Sun Mar 08 18:52:50 UTC 2026","broken","Sun Mar 08 18:53:20 UTC 2026","","test_res_register","",""
