"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_number[1]","tests","Tue Mar 10 18:59:55 UTC 2026","passed","Tue Mar 10 18:59:55 UTC 2026","","test_parametrization","",""
"ResRegisterHw","6495","test_register","tests","Tue Mar 10 19:00:02 UTC 2026","passed","Tue Mar 10 19:00:08 UTC 2026","","test_reg_hw_res","",""
"Проверка, что кнопка неактивна","6496","test_desabled","tests","Tue Mar 10 18:58:50 UTC 2026","passed","Tue Mar 10 18:58:56 UTC 2026","","test_desabled","",""
"","1","test_rerun_with_condition","tests","Tue Mar 10 18:59:56 UTC 2026","skipped","Tue Mar 10 18:59:56 UTC 2026","","test_reruns","",""
"Авторизация","6798","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:58:06 UTC 2026","passed","Tue Mar 10 18:58:13 UTC 2026","","test_avtorization","",""
"Авторизация","6122","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:58:24 UTC 2026","passed","Tue Mar 10 18:58:30 UTC 2026","","test_avtorization","",""
"","1","test_several_number[3-9]","tests","Tue Mar 10 18:59:55 UTC 2026","passed","Tue Mar 10 18:59:55 UTC 2026","","test_parametrization","",""
"Register","6585","test_reg_hw","tests","Tue Mar 10 18:59:55 UTC 2026","passed","Tue Mar 10 19:00:02 UTC 2026","","test_reg_hw","",""
"","0","test_several_number[2-4]","tests","Tue Mar 10 18:59:55 UTC 2026","passed","Tue Mar 10 18:59:55 UTC 2026","","test_parametrization","",""
"ListMeni","17251","test_list_menu[webkit]","tests","Tue Mar 10 18:59:22 UTC 2026","passed","Tue Mar 10 18:59:40 UTC 2026","","test_list_bar_dasboards","",""
"ListMeni","798","test_cousesed[chromium]","tests","Tue Mar 10 18:58:35 UTC 2026","passed","Tue Mar 10 18:58:36 UTC 2026","","test_course","",""
"ListMeni","17143","test_list_menu[firefox]","tests","Tue Mar 10 18:59:04 UTC 2026","passed","Tue Mar 10 18:59:21 UTC 2026","","test_list_bar_dasboards","",""
