"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация","5735","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:27 UTC 2026","passed","Tue Feb 10 18:21:33 UTC 2026","","test_avtorization","",""
"Авторизация","7017","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:05 UTC 2026","passed","Tue Feb 10 18:21:12 UTC 2026","","test_avtorization","",""
"ListMeni","684","test_cousesed[chromium]","tests","Tue Feb 10 18:21:30 UTC 2026","passed","Tue Feb 10 18:21:31 UTC 2026","","test_course","",""
"ListMeni","16855","test_list_menu[webkit]","tests","Tue Feb 10 18:21:54 UTC 2026","passed","Tue Feb 10 18:22:11 UTC 2026","","test_list_bar_dasboards","",""
"Dashboard","5875","test_dashboard[chromium]","tests","Tue Feb 10 18:21:50 UTC 2026","passed","Tue Feb 10 18:21:56 UTC 2026","","test_dasbord_grafic","",""
"ResRegister","13304","test_register","tests","Tue Feb 10 18:23:09 UTC 2026","passed","Tue Feb 10 18:23:23 UTC 2026","","test_res_register","",""
"Dashboard","30736","test_created_course[chromium]","tests","Tue Feb 10 18:22:39 UTC 2026","skipped","Tue Feb 10 18:23:09 UTC 2026","","test_create_course","",""
"ListMeni","684","test_cousesed[webkit]","tests","Tue Feb 10 18:21:53 UTC 2026","passed","Tue Feb 10 18:21:53 UTC 2026","","test_course","",""
"Dashboard","6330","test_dashboard[firefox]","tests","Tue Feb 10 18:21:35 UTC 2026","passed","Tue Feb 10 18:21:41 UTC 2026","","test_dasbord_grafic","",""
"","0","test_several_number[3-9]","tests","Tue Feb 10 18:22:48 UTC 2026","passed","Tue Feb 10 18:22:48 UTC 2026","","test_parametrization","",""
"","0","test_number[2]","tests","Tue Feb 10 18:22:47 UTC 2026","passed","Tue Feb 10 18:22:47 UTC 2026","","test_parametrization","",""
"Dashboard","31985","test_created_course[firefox]","tests","Tue Feb 10 18:21:33 UTC 2026","skipped","Tue Feb 10 18:22:05 UTC 2026","","test_create_course","",""
"Авторизация","6312","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:16 UTC 2026","passed","Tue Feb 10 18:21:23 UTC 2026","","test_avtorization","",""
"","0","test_runs_1","tests","Tue Feb 10 18:23:09 UTC 2026","skipped","Tue Feb 10 18:23:09 UTC 2026","","test_reruns","",""
"Dashboard","5688","test_dashboard[webkit]","tests","Tue Feb 10 18:21:43 UTC 2026","passed","Tue Feb 10 18:21:49 UTC 2026","","test_dasbord_grafic","",""
"Авторизация","6236","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:25 UTC 2026","passed","Tue Feb 10 18:21:31 UTC 2026","","test_avtorization","",""
"","0","test_several_number[2-4]","tests","Tue Feb 10 18:22:48 UTC 2026","passed","Tue Feb 10 18:22:48 UTC 2026","","test_parametrization","",""
"Register","6803","test_register1[webkit]","tests","Tue Feb 10 18:22:56 UTC 2026","passed","Tue Feb 10 18:23:03 UTC 2026","","test_registration","",""
"","0","test_number[3]","tests","Tue Feb 10 18:22:55 UTC 2026","passed","Tue Feb 10 18:22:55 UTC 2026","","test_parametrization","",""
"","0","test_number[-1]","tests","Tue Feb 10 18:22:47 UTC 2026","skipped","Tue Feb 10 18:22:47 UTC 2026","","test_parametrization","",""
"Авторизация","6104","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:14 UTC 2026","passed","Tue Feb 10 18:21:20 UTC 2026","","test_avtorization","",""
"ListMeni","16953","test_list_menu[firefox]","tests","Tue Feb 10 18:22:10 UTC 2026","passed","Tue Feb 10 18:22:27 UTC 2026","","test_list_bar_dasboards","",""
"Register","6532","test_reg_hw","tests","Tue Feb 10 18:22:48 UTC 2026","passed","Tue Feb 10 18:22:54 UTC 2026","","test_reg_hw","",""
"Проверка активности кнопки Регистрация","6567","test_hover","tests","Tue Feb 10 18:22:41 UTC 2026","passed","Tue Feb 10 18:22:47 UTC 2026","","test_login2","",""
"Авторизация","6180","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:09 UTC 2026","passed","Tue Feb 10 18:21:15 UTC 2026","","test_avtorization","",""
"Авторизация","6764","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:15 UTC 2026","passed","Tue Feb 10 18:21:22 UTC 2026","","test_avtorization","",""
"ListMeni","16403","test_list_menu[chromium]","tests","Tue Feb 10 18:22:12 UTC 2026","passed","Tue Feb 10 18:22:28 UTC 2026","","test_list_bar_dasboards","",""
"Авторизация","6899","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:06 UTC 2026","passed","Tue Feb 10 18:21:13 UTC 2026","","test_avtorization","",""
"Проверка, что кнопка неактивна","6561","test_desabled","tests","Tue Feb 10 18:21:56 UTC 2026","passed","Tue Feb 10 18:22:02 UTC 2026","","test_desabled","",""
"Register","5639","test_register1[chromium]","tests","Tue Feb 10 18:23:04 UTC 2026","passed","Tue Feb 10 18:23:09 UTC 2026","","test_registration","",""
"Проверка, что кнопка неактивна","5922","test_hover","tests","Tue Feb 10 18:22:02 UTC 2026","passed","Tue Feb 10 18:22:08 UTC 2026","","test_hover","",""
"Авторизация","6005","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:23 UTC 2026","passed","Tue Feb 10 18:21:29 UTC 2026","","test_avtorization","",""
"Авторизация","12319","test_login[firefox]","tests","Tue Feb 10 18:22:29 UTC 2026","passed","Tue Feb 10 18:22:42 UTC 2026","","test_login","",""
"Авторизация","5922","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:41 UTC 2026","passed","Tue Feb 10 18:21:47 UTC 2026","","test_avtorization","",""
"ResRegisterHw","6454","test_register","tests","Tue Feb 10 18:22:54 UTC 2026","passed","Tue Feb 10 18:23:00 UTC 2026","","test_reg_hw_res","",""
"Авторизация","5871","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:20 UTC 2026","passed","Tue Feb 10 18:21:26 UTC 2026","","test_avtorization","",""
"Register","6223","test_register1[firefox]","tests","Tue Feb 10 18:23:02 UTC 2026","passed","Tue Feb 10 18:23:09 UTC 2026","","test_registration","",""
"Dashboard","30730","test_created_course[webkit]","tests","Tue Feb 10 18:22:07 UTC 2026","skipped","Tue Feb 10 18:22:38 UTC 2026","","test_create_course","",""
"","0","test_several_number[1-1]","tests","Tue Feb 10 18:22:48 UTC 2026","passed","Tue Feb 10 18:22:48 UTC 2026","","test_parametrization","",""
"Авторизация","6793","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:21:34 UTC 2026","passed","Tue Feb 10 18:21:40 UTC 2026","","test_avtorization","",""
"Авторизация","12254","test_login[webkit]","tests","Tue Feb 10 18:22:43 UTC 2026","passed","Tue Feb 10 18:22:55 UTC 2026","","test_login","",""
"Авторизация","11668","test_login[chromium]","tests","Tue Feb 10 18:22:29 UTC 2026","passed","Tue Feb 10 18:22:41 UTC 2026","","test_login","",""
"","0","test_rerun_with_condition","tests","Tue Feb 10 18:23:09 UTC 2026","passed","Tue Feb 10 18:23:09 UTC 2026","","test_reruns","",""
"","0","test_number[1]","tests","Tue Feb 10 18:23:10 UTC 2026","passed","Tue Feb 10 18:23:10 UTC 2026","","test_parametrization","",""
"ListMeni","1540","test_cousesed[firefox]","tests","Tue Feb 10 18:21:49 UTC 2026","passed","Tue Feb 10 18:21:51 UTC 2026","","test_course","",""
