"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Dashboard","6640","test_dashboard[firefox]","tests","Tue Feb 10 18:05:26 UTC 2026","passed","Tue Feb 10 18:05:33 UTC 2026","","test_dasbord_grafic","",""
"ListMeni","17330","test_list_menu[webkit]","tests","Tue Feb 10 18:05:47 UTC 2026","passed","Tue Feb 10 18:06:05 UTC 2026","","test_list_bar_dasboards","",""
"Dashboard","30830","test_created_course[webkit]","tests","Tue Feb 10 18:05:58 UTC 2026","skipped","Tue Feb 10 18:06:29 UTC 2026","","test_create_course","",""
"","0","test_several_number[2-4]","tests","Tue Feb 10 18:06:42 UTC 2026","passed","Tue Feb 10 18:06:42 UTC 2026","","test_parametrization","",""
"Dashboard","31624","test_created_course[firefox]","tests","Tue Feb 10 18:05:25 UTC 2026","skipped","Tue Feb 10 18:05:56 UTC 2026","","test_create_course","",""
"Авторизация","6369","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Feb 10 18:05:14 UTC 2026","passed","Tue Feb 10 18:05:21 UTC 2026","","test_avtorization","",""
"","1","test_number[2]","tests","Tue Feb 10 18:06:48 UTC 2026","passed","Tue Feb 10 18:06:48 UTC 2026","","test_parametrization","",""
"","0","test_runs_1","tests","Tue Feb 10 18:07:03 UTC 2026","passed","Tue Feb 10 18:07:03 UTC 2026","","test_reruns","",""
"ListMeni","16917","test_list_menu[firefox]","tests","Tue Feb 10 18:06:02 UTC 2026","passed","Tue Feb 10 18:06:19 UTC 2026","","test_list_bar_dasboards","",""
"Dashboard","30762","test_created_course[chromium]","tests","Tue Feb 10 18:06:30 UTC 2026","skipped","Tue Feb 10 18:07:01 UTC 2026","","test_create_course","",""
"","0","test_several_number[1-1]","tests","Tue Feb 10 18:06:42 UTC 2026","passed","Tue Feb 10 18:06:42 UTC 2026","","test_parametrization","",""
"Register","6523","test_register1[chromium]","tests","Tue Feb 10 18:06:56 UTC 2026","passed","Tue Feb 10 18:07:03 UTC 2026","","test_registration","",""
"Авторизация","11585","test_login[chromium]","tests","Tue Feb 10 18:06:23 UTC 2026","passed","Tue Feb 10 18:06:34 UTC 2026","","test_login","",""
