"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация","6515","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:38 UTC 2026","passed","Tue Mar 10 18:43:44 UTC 2026","","test_avtorization","",""
"ListMeni","1021","test_cousesed[webkit]","tests","Tue Mar 10 18:43:46 UTC 2026","passed","Tue Mar 10 18:43:47 UTC 2026","","test_course","",""
"Авторизация","6418","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:41 UTC 2026","passed","Tue Mar 10 18:43:47 UTC 2026","","test_avtorization","",""
"ResRegister","30531","test_register","tests","Tue Mar 10 18:45:15 UTC 2026","broken","Tue Mar 10 18:45:45 UTC 2026","","test_res_register","",""
"Dashboard","5545","test_dashboard[webkit]","tests","Tue Mar 10 18:44:29 UTC 2026","passed","Tue Mar 10 18:44:34 UTC 2026","","test_dasbord_grafic","",""
"Авторизация","6646","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:38 UTC 2026","passed","Tue Mar 10 18:43:45 UTC 2026","","test_avtorization","",""
"Авторизация","6705","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:53 UTC 2026","passed","Tue Mar 10 18:43:59 UTC 2026","","test_avtorization","",""
"Авторизация","12141","test_login[firefox]","tests","Tue Mar 10 18:44:59 UTC 2026","passed","Tue Mar 10 18:45:11 UTC 2026","","test_login","",""
"","0","test_several_number[2-4]","tests","Tue Mar 10 18:45:14 UTC 2026","passed","Tue Mar 10 18:45:14 UTC 2026","","test_parametrization","",""
"ResRegisterHw","6532","test_register","tests","Tue Mar 10 18:45:21 UTC 2026","passed","Tue Mar 10 18:45:27 UTC 2026","","test_reg_hw_res","",""
"Авторизация","7466","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:21 UTC 2026","passed","Tue Mar 10 18:43:29 UTC 2026","","test_avtorization","",""
"Авторизация","6870","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:30 UTC 2026","passed","Tue Mar 10 18:43:37 UTC 2026","","test_avtorization","",""
"Авторизация","7447","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:30 UTC 2026","passed","Tue Mar 10 18:43:38 UTC 2026","","test_avtorization","",""
"","0","test_number[-1]","tests","Tue Mar 10 18:45:14 UTC 2026","skipped","Tue Mar 10 18:45:14 UTC 2026","","test_parametrization","",""
"","0","test_several_number[3-9]","tests","Tue Mar 10 18:45:14 UTC 2026","passed","Tue Mar 10 18:45:14 UTC 2026","","test_parametrization","",""
"Проверка, что кнопка неактивна","5997","test_hover","tests","Tue Mar 10 18:44:16 UTC 2026","passed","Tue Mar 10 18:44:22 UTC 2026","","test_hover","",""
"Dashboard","31421","test_created_course[webkit]","tests","Tue Mar 10 18:43:49 UTC 2026","skipped","Tue Mar 10 18:44:21 UTC 2026","","test_create_course","",""
"Авторизация","11649","test_login[chromium]","tests","Tue Mar 10 18:45:03 UTC 2026","passed","Tue Mar 10 18:45:14 UTC 2026","","test_login","",""
"","0","test_runs_1","tests","Tue Mar 10 18:45:15 UTC 2026","skipped","Tue Mar 10 18:45:15 UTC 2026","","test_reruns","",""
"Авторизация","7379","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:20 UTC 2026","passed","Tue Mar 10 18:43:28 UTC 2026","","test_avtorization","",""
"ListMeni","16668","test_list_menu[chromium]","tests","Tue Mar 10 18:44:41 UTC 2026","passed","Tue Mar 10 18:44:58 UTC 2026","","test_list_bar_dasboards","",""
"Проверка, что кнопка неактивна","6541","test_desabled","tests","Tue Mar 10 18:44:09 UTC 2026","passed","Tue Mar 10 18:44:16 UTC 2026","","test_desabled","",""
"Авторизация","5833","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:44:00 UTC 2026","passed","Tue Mar 10 18:44:06 UTC 2026","","test_avtorization","",""
"Авторизация","7698","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:21 UTC 2026","passed","Tue Mar 10 18:43:28 UTC 2026","","test_avtorization","",""
"Dashboard","31095","test_created_course[firefox]","tests","Tue Mar 10 18:43:55 UTC 2026","skipped","Tue Mar 10 18:44:27 UTC 2026","","test_create_course","",""
"","0","test_number[3]","tests","Tue Mar 10 18:45:19 UTC 2026","passed","Tue Mar 10 18:45:19 UTC 2026","","test_parametrization","",""
"Dashboard","6430","test_dashboard[firefox]","tests","Tue Mar 10 18:44:55 UTC 2026","passed","Tue Mar 10 18:45:01 UTC 2026","","test_dasbord_grafic","",""
"Авторизация","7108","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:30 UTC 2026","passed","Tue Mar 10 18:43:37 UTC 2026","","test_avtorization","",""
"Dashboard","30991","test_created_course[chromium]","tests","Tue Mar 10 18:44:22 UTC 2026","skipped","Tue Mar 10 18:44:53 UTC 2026","","test_create_course","",""
"ListMeni","17225","test_list_menu[firefox]","tests","Tue Mar 10 18:44:24 UTC 2026","passed","Tue Mar 10 18:44:41 UTC 2026","","test_list_bar_dasboards","",""
"ListMeni","1174","test_cousesed[chromium]","tests","Tue Mar 10 18:43:50 UTC 2026","passed","Tue Mar 10 18:43:52 UTC 2026","","test_course","",""
"Проверка активности кнопки Регистрация","6548","test_hover","tests","Tue Mar 10 18:45:12 UTC 2026","passed","Tue Mar 10 18:45:19 UTC 2026","","test_login2","",""
"Авторизация","12588","test_login[webkit]","tests","Tue Mar 10 18:45:01 UTC 2026","passed","Tue Mar 10 18:45:14 UTC 2026","","test_login","",""
"","0","test_number[1]","tests","Tue Mar 10 18:45:14 UTC 2026","passed","Tue Mar 10 18:45:14 UTC 2026","","test_parametrization","",""
"","0","test_rerun_with_condition","tests","Tue Mar 10 18:45:15 UTC 2026","skipped","Tue Mar 10 18:45:15 UTC 2026","","test_reruns","",""
"Register","6709","test_reg_hw","tests","Tue Mar 10 18:45:14 UTC 2026","passed","Tue Mar 10 18:45:21 UTC 2026","","test_reg_hw","",""
"","0","test_number[2]","tests","Tue Mar 10 18:45:15 UTC 2026","passed","Tue Mar 10 18:45:15 UTC 2026","","test_parametrization","",""
"ListMeni","17143","test_list_menu[webkit]","tests","Tue Mar 10 18:44:43 UTC 2026","passed","Tue Mar 10 18:45:00 UTC 2026","","test_list_bar_dasboards","",""
"Dashboard","5658","test_dashboard[chromium]","tests","Tue Mar 10 18:44:35 UTC 2026","passed","Tue Mar 10 18:44:41 UTC 2026","","test_dasbord_grafic","",""
"Авторизация","6201","Авторизация, выбор логина и пароля","tests.test_autofication","Tue Mar 10 18:43:45 UTC 2026","passed","Tue Mar 10 18:43:51 UTC 2026","","test_avtorization","",""
"ListMeni","1005","test_cousesed[firefox]","tests","Tue Mar 10 18:44:08 UTC 2026","passed","Tue Mar 10 18:44:09 UTC 2026","","test_course","",""
"","0","test_several_number[1-1]","tests","Tue Mar 10 18:45:14 UTC 2026","passed","Tue Mar 10 18:45:14 UTC 2026","","test_parametrization","",""
