"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация","14183","test_login[webkit]","tests","Sun Jan 25 09:29:38 UTC 2026","passed","Sun Jan 25 09:29:52 UTC 2026","","test_login","",""
"","0","test_runs_1","tests","Sun Jan 25 09:30:03 UTC 2026","skipped","Sun Jan 25 09:30:03 UTC 2026","","test_reruns","",""
"Dashboard","33639","test_created_course[firefox]","tests","Sun Jan 25 09:27:57 UTC 2026","skipped","Sun Jan 25 09:28:30 UTC 2026","","test_create_course","",""
"Авторизация","7698","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 09:27:58 UTC 2026","passed","Sun Jan 25 09:28:06 UTC 2026","","test_avtorization","",""
"Авторизация","7139","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 09:27:39 UTC 2026","passed","Sun Jan 25 09:27:47 UTC 2026","","test_avtorization","",""
"Dashboard","31497","test_created_course[chromium]","tests","Sun Jan 25 09:29:16 UTC 2026","skipped","Sun Jan 25 09:29:47 UTC 2026","","test_create_course","",""
"","1","test_several_number[1-1]","tests","Sun Jan 25 09:29:47 UTC 2026","passed","Sun Jan 25 09:29:47 UTC 2026","","test_parametrization","",""
"Авторизация","12339","test_login[chromium]","tests","Sun Jan 25 09:29:49 UTC 2026","passed","Sun Jan 25 09:30:01 UTC 2026","","test_login","",""
"Проверка, что кнопка неактивна","9120","test_hover","tests","Sun Jan 25 09:28:38 UTC 2026","passed","Sun Jan 25 09:28:48 UTC 2026","","test_hover","",""
"Авторизация","6807","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 09:27:37 UTC 2026","passed","Sun Jan 25 09:27:44 UTC 2026","","test_avtorization","",""
"ListMeni","20946","test_list_menu[webkit]","tests","Sun Jan 25 09:28:58 UTC 2026","passed","Sun Jan 25 09:29:19 UTC 2026","","test_list_bar_dasboards","",""
"Register","8065","test_reg_hw","tests","Sun Jan 25 09:29:48 UTC 2026","passed","Sun Jan 25 09:29:56 UTC 2026","","test_reg_hw","",""
"Dashboard","6126","test_dashboard[chromium]","tests","Sun Jan 25 09:28:21 UTC 2026","passed","Sun Jan 25 09:28:27 UTC 2026","","test_dasbord_grafic","",""
"Проверка активности кнопки Регистрация","7147","test_hover","tests","Sun Jan 25 09:29:40 UTC 2026","passed","Sun Jan 25 09:29:47 UTC 2026","","test_login2","",""
"","0","test_number[2]","tests","Sun Jan 25 09:29:47 UTC 2026","passed","Sun Jan 25 09:29:47 UTC 2026","","test_parametrization","",""
"Авторизация","6236","Авторизация, выбор логина и пароля","tests.test_autofication","Sun Jan 25 09:27:42 UTC 2026","passed","Sun Jan 25 09:27:49 UTC 2026","","test_avtorization","",""
"ListMeni","904","test_cousesed[chromium]","tests","Sun Jan 25 09:27:53 UTC 2026","passed","Sun Jan 25 09:27:54 UTC 2026","","test_course","",""
"ResRegisterHw","7031","test_register","tests","Sun Jan 25 09:29:56 UTC 2026","passed","Sun Jan 25 09:30:03 UTC 2026","","test_reg_hw_res","",""
